,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
Hayfork High,7566.0,Hayfork High School,public,9-12,84.0,6.0,1.0,Hayfork,CA,1004.0,Mountain Valley Unified School District,600018.0,"231 Oak Street, 
Hayfork, CA  96041",(530) 628-5261,(530) 628-3091,www.mvusd.us,60001809107.0,40.550167,-123.17203,https://www.greatschools.org/california/hayfork/7566-Hayfork-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayfork/7566-Hayfork-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hayfork/7566-Hayfork-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hayfork/7566-Hayfork-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity High,24609.0,Trinity High School,public,9-12,318.0,5.0,,Weaverville,CA,1206.0,Trinity Alps Unified School District,601331.0,"321 Victory Lane, 
Weaverville, CA  96093",(530) 623-6127,(530) 623-6661,www.trinitywolves.org/,60133106605.0,40.73842,-122.94983,https://www.greatschools.org/california/weaverville/24609-Trinity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/weaverville/24609-Trinity-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/weaverville/24609-Trinity-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/weaverville/24609-Trinity-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,5.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
University Preparatory High,25025.0,University Preparatory High School,charter,9-12,245.0,8.0,3.0,Visalia,CA,1130.0,Tulare County Office Of Education School District,691045.0,"915 South Mooney Boulevard, Mariposa Building, 
Visalia, CA  93277",(559) 730-2529,(559) 730-2518,www.tcoe.org/uphs/index.shtm,69104512387.0,36.322964,-119.31416000000002,https://www.greatschools.org/california/visalia/25025-University-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/25025-University-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/25025-University-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/visalia/25025-University-Preparatory-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,10.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,
Alpaugh -Senior High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orosi High,7433.0,Orosi High School,public,9-12,1045.0,4.0,3.0,Orosi,CA,957.0,Cutler-Orosi Joint Unified School District,610350.0,"41815 Road 128, 
Orosi, CA  93647",(559) 528-4731,(559) 528-4930,http://ohs.cojusd.org/,61035001159.0,36.548595,-119.287,https://www.greatschools.org/california/orosi/7433-Orosi-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orosi/7433-Orosi-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orosi/7433-Orosi-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/orosi/7433-Orosi-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Lindsay Senior High,7467.0,Lindsay Senior High School,public,9-12,1090.0,5.0,4.0,Lindsay,CA,968.0,Lindsay Unified School District,621870.0,"1849 East Tulare Road, 
Lindsay, CA  93247",(559) 562-5911,(559) 562-4291,www.lindsay.k12.ca.us/lindsay%20high/,62187002595.0,36.210809999999995,-119.06483999999999,https://www.greatschools.org/california/lindsay/7467-Lindsay-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lindsay/7467-Lindsay-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lindsay/7467-Lindsay-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lindsay/7467-Lindsay-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,5.0,,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Mission Oak High,17579.0,Mission Oak High School,public,9-12,1464.0,5.0,5.0,Tulare,CA,990.0,Tulare Joint Union High School District,639930.0,"3442 East Bardsley Avenue, 
Tulare, CA  93274",(559) 688-2021,(559) 687-7317,www.tulare.k12.ca.us,63993012084.0,36.195976,-119.49649,https://www.greatschools.org/california/tulare/17579-Mission-Oak-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/17579-Mission-Oak-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/17579-Mission-Oak-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tulare/17579-Mission-Oak-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Sierra Vista Charter High,11204.0,Sierra Vista Charter High,charter,9-12,186.0,3.0,,Tulare,CA,990.0,Tulare Joint Union High School District,639930.0,"351 North K Street, 
Tulare, CA  93274",(559) 687-7384,,,63993004203.0,36.21145,-119.34695,https://www.greatschools.org/california/tulare/11204-Sierra-Vista-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/11204-Sierra-Vista-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/11204-Sierra-Vista-Charter-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tulare/11204-Sierra-Vista-Charter-High/?utm_source=GSAPI&utm_medium=referral,,4.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Accelerated Charter High,32426.0,Accelerated Charter High,charter,9-12,,,,Tulare,CA,990.0,Tulare Joint Union High School District,639930.0,"4136 North Mooney Boulevard, 
Tulare, CA  93274",(559) 688-2021,,www.tulare.k12.ca.us,63993013976.0,36.251265999999994,-119.31294,https://www.greatschools.org/california/tulare/32426-Accelerated-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/32426-Accelerated-Charter-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/32426-Accelerated-Charter-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tulare/32426-Accelerated-Charter-High/?utm_source=GSAPI&utm_medium=referral,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Tulare Union High,7518.0,Tulare Union High School,public,9-12,1740.0,6.0,4.0,Tulare,CA,990.0,Tulare Joint Union High School District,639930.0,"755 East Tulare Avenue, 
Tulare, CA  93274",(559) 686-4761,(559) 687-7367,http://tuhs.tjuhsd.org/,63993006619.0,36.20919,-119.3385,https://www.greatschools.org/california/tulare/7518-Tulare-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/7518-Tulare-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/7518-Tulare-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tulare/7518-Tulare-Union-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Tulare Western High,7520.0,Tulare Western High School,public,9-12,1853.0,6.0,4.0,Tulare,CA,990.0,Tulare Joint Union High School District,639930.0,"824 West Maple Avenue, 
Tulare, CA  93274",(559) 686-8751,(559) 687-7341,http://www.tulare.k12.ca.us/twhs,63993006620.0,36.21463,-119.36041000000002,https://www.greatschools.org/california/tulare/7520-Tulare-Western-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/7520-Tulare-Western-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tulare/7520-Tulare-Western-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tulare/7520-Tulare-Western-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,6.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Visalia Charter Independent Study,15073.0,Visalia Charter Independent Study,charter,7-12,525.0,,5.0,Visalia,CA,992.0,Visalia Unified School District,641160.0,"1821 West Meadow Lane, 
Visalia, CA  93291",(559) 735-8055,(559) 622-3170,www.vusd.org,64116011823.0,36.32203,-119.31288,https://www.greatschools.org/california/visalia/15073-Visalia-Charter-Independent-Study/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/15073-Visalia-Charter-Independent-Study/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/15073-Visalia-Charter-Independent-Study/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/visalia/15073-Visalia-Charter-Independent-Study/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visalia Technical Early College,25323.0,Visalia Technical Early College,charter,9-12,257.0,5.0,,Visalia,CA,992.0,Visalia Unified School District,641160.0,"2245 South Linwood, 
Visalia, CA  93277",(559) 622-3212,(559) 622-3214,www.vusd.org,64116012503.0,36.309483,-119.34063,https://www.greatschools.org/california/visalia/25323-Visalia-Technical-Early-College/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/25323-Visalia-Technical-Early-College/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/25323-Visalia-Technical-Early-College/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/visalia/25323-Visalia-Technical-Early-College/?utm_source=GSAPI&utm_medium=referral,8.0,5.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Golden West High,7531.0,Golden West High School,public,9-12,1651.0,6.0,4.0,Visalia,CA,992.0,Visalia Unified School District,641160.0,"1717 North Mcauliff Street, 
Visalia, CA  93292",(559) 730-7814,(559) 730-7408,www.vusd.org,64116006792.0,36.343212,-119.25214,https://www.greatschools.org/california/visalia/7531-Golden-West-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/7531-Golden-West-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/7531-Golden-West-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/visalia/7531-Golden-West-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
El Diamante High,12254.0,El Diamante High School,public,9-12,1958.0,7.0,4.0,Visalia,CA,992.0,Visalia Unified School District,641160.0,"5100 West Whitendale Avenue, 
Visalia, CA  93277",(559) 735-3501,(559) 735-3579,www.vusd.org,64116010703.0,36.305496000000005,-119.34648999999999,https://www.greatschools.org/california/visalia/12254-El-Diamante-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/12254-El-Diamante-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/12254-El-Diamante-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/visalia/12254-El-Diamante-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Mt. Whitney High,7542.0,Mt. Whitney High School,public,9-12,1590.0,7.0,4.0,Visalia,CA,992.0,Visalia Unified School District,641160.0,"900 South Conyer Street, 
Visalia, CA  93277",(559) 730-7602,(559) 730-7679,www.vusd.org,64116006801.0,36.322178,-119.30103999999999,https://www.greatschools.org/california/visalia/7542-Mt.-Whitney-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/7542-Mt.-Whitney-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/visalia/7542-Mt.-Whitney-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/visalia/7542-Mt.-Whitney-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Farmersville High,7453.0,Farmersville High School,public,9-12,749.0,4.0,4.0,Farmersville,CA,963.0,Farmersville Unified School District,600035.0,"631 East Walnut Avenue, 
Farmersville, CA  93223",(559) 594-4567,(559) 594-5287,www.farmersville.k12.ca.us,60003507903.0,36.310520000000004,-119.20013999999999,https://www.greatschools.org/california/farmersville/7453-Farmersville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/farmersville/7453-Farmersville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/farmersville/7453-Farmersville-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/farmersville/7453-Farmersville-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Butterfield Charter,17707.0,Butterfield Charter High School,charter,9-12,325.0,1.0,4.0,Porterville,CA,975.0,Porterville Unified School District,600064.0,"900 West Pioneer Avenue, 
Porterville, CA  93257",(559) 782-7057,(559) 782-7090,http://www.portervilleschools.org/pusd,60006412042.0,36.092495,-119.03786000000001,https://www.greatschools.org/california/porterville/17707-Butterfield-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/porterville/17707-Butterfield-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/porterville/17707-Butterfield-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/porterville/17707-Butterfield-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Harmony Magnet Academy,24661.0,Harmony Magnet Academy,charter,9-12,516.0,10.0,5.0,Strathmore,CA,975.0,Porterville Unified School District,600064.0,"19429 Road 228, 
Strathmore, CA  93267",(559) 568-0347,(559) 568-1929,www.portervilleschools.org,60006412356.0,36.141552000000004,-119.06275,https://www.greatschools.org/california/strathmore/24661-Harmony-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/strathmore/24661-Harmony-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/strathmore/24661-Harmony-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/strathmore/24661-Harmony-Magnet-Academy/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,9.0,,,,,,,,,,,,,,,,,,,,,,
Monache High,7480.0,Monache High School,public,9-12,1781.0,5.0,4.0,Porterville,CA,975.0,Porterville Unified School District,600064.0,"960 North Newcomb Street, 
Porterville, CA  93257",(559) 782-7150,(559) 781-3377,http://monache.portervilleschools.org/,60006404879.0,36.08325,-119.0528,https://www.greatschools.org/california/porterville/7480-Monache-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/porterville/7480-Monache-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/porterville/7480-Monache-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/porterville/7480-Monache-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,6.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Porterville High,7484.0,Porterville High School,public,9-12,1932.0,6.0,4.0,Porterville,CA,975.0,Porterville Unified School District,600064.0,"465 West Olive Avenue, 
Porterville, CA  93257",(559) 782-7210,(559) 782-7215,http://www.portervillehigh.nu,60006404880.0,36.064625,-119.02892,https://www.greatschools.org/california/porterville/7484-Porterville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/porterville/7484-Porterville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/porterville/7484-Porterville-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/porterville/7484-Porterville-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Strathmore High,14539.0,Strathmore High School,public,9-12,275.0,5.0,5.0,Strathmore,CA,975.0,Porterville Unified School District,600064.0,"22568 Avenue 196, 
Strathmore, CA  93267",(559) 568-1731,(559) 568-0091,,60006411535.0,36.145596000000005,-119.06773999999999,https://www.greatschools.org/california/strathmore/14539-Strathmore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/strathmore/14539-Strathmore-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/strathmore/14539-Strathmore-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/strathmore/14539-Strathmore-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Dinuba High,7437.0,Dinuba High School,public,9-12,1989.0,5.0,4.0,Dinuba,CA,958.0,Dinuba Unified School District,600065.0,"340 East Kern Street, 
Dinuba, CA  93618",(559) 595-7220,(559) 591-3655,www.dinuba.k12.ca.us,60006501242.0,36.54168,-119.38666,https://www.greatschools.org/california/dinuba/7437-Dinuba-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dinuba/7437-Dinuba-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dinuba/7437-Dinuba-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/dinuba/7437-Dinuba-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,6.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Woodlake High,25831.0,Woodlake High School,public,9-12,663.0,5.0,,Woodlake,CA,1281.0,Woodlake Unified School District,601418.0,"400 West Whitney Avenue, 
Woodlake, CA  93286",(559) 564-3307,,http://whswoodlake.sharpschool.com/,60141806996.0,36.41917,-119.10282,https://www.greatschools.org/california/woodlake/25831-Woodlake-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/woodlake/25831-Woodlake-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/woodlake/25831-Woodlake-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/woodlake/25831-Woodlake-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Exeter Union High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Fork High,7410.0,South Fork High School,public,9-12,4.0,,5.0,Twain Harte,CA,947.0,Summerville Union High School District,638280.0,"25611 Lyons Dam Road, 
Twain Harte, CA  95383",(209) 586-5672,,,63828010105.0,38.087627000000005,-120.19488999999999,https://www.greatschools.org/california/twain-harte/7410-South-Fork-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/twain-harte/7410-South-Fork-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/twain-harte/7410-South-Fork-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/twain-harte/7410-South-Fork-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Springs High,7407.0,Cold Springs High School,public,9-12,4.0,,,Long Barn,CA,947.0,Summerville Union High School District,638280.0,"25910 Long Barn Road, 
Long Barn, CA  95335",(209) 586-3011,,,63828010338.0,38.092278,-120.13375,https://www.greatschools.org/california/long-barn/7407-Cold-Springs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-barn/7407-Cold-Springs-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/long-barn/7407-Cold-Springs-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/long-barn/7407-Cold-Springs-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain High,12256.0,Mountain High School,public,9-12,4.0,,5.0,Pinecrest,CA,947.0,Summerville Union High School District,638280.0,"2 Pinecrest School Road, 
Pinecrest, CA  95364",(209) 965-4046,(209) 928-1422,http://www.cde.ca.gov/re/sd/details.asp?cds=55724135530175&public=y,63828010706.0,38.18356,-120.00723,https://www.greatschools.org/california/pinecrest/12256-Mountain-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pinecrest/12256-Mountain-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pinecrest/12256-Mountain-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pinecrest/12256-Mountain-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections Visual and Performing Arts Academy,12257.0,Connections Visual And Performing Arts Academy,charter,7-12,227.0,7.0,5.0,Tuolumne,CA,947.0,Summerville Union High School District,638280.0,"17555 Tuolumne Road, 
Tuolumne, CA  95379",(209) 928-4228,(209) 928-1422,www.summbears.k12.ca.us,63828010707.0,37.964725,-120.24444,https://www.greatschools.org/california/tuolumne/12257-Connections-Visual-And-Performing-Arts-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tuolumne/12257-Connections-Visual-And-Performing-Arts-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tuolumne/12257-Connections-Visual-And-Performing-Arts-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tuolumne/12257-Connections-Visual-And-Performing-Arts-Academy/?utm_source=GSAPI&utm_medium=referral,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Summerville High,7411.0,Summerville High School,public,9-12,452.0,6.0,4.0,Tuolumne,CA,947.0,Summerville Union High School District,638280.0,"17555 Tuolumne Road, 
Tuolumne, CA  95379",(209) 928-4228,(209) 928-1422,,63828006452.0,37.964725,-120.24444,https://www.greatschools.org/california/tuolumne/7411-Summerville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tuolumne/7411-Summerville-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/tuolumne/7411-Summerville-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/tuolumne/7411-Summerville-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,4.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
Tioga High,7396.0,Tioga High School,public,9-12,53.0,1.0,4.0,Groveland,CA,937.0,Big Oak Flat-Groveland Unified School District,691137.0,"19304 Ferretti Road, 
Groveland, CA  95321",(209) 962-4763,(209) 962-4507,http://www.bigoakflatgrovelandusd.org/,69113710339.0,37.8247,-120.11681000000002,https://www.greatschools.org/california/groveland/7396-Tioga-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/groveland/7396-Tioga-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/groveland/7396-Tioga-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/groveland/7396-Tioga-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Pedro High,7394.0,Don Pedro High School,public,9-12,36.0,3.0,3.0,La Grange,CA,937.0,Big Oak Flat-Groveland Unified School District,691137.0,"3090 Merced Falls Road, 
La Grange, CA  95329",(209) 852-2864,(209) 852-2125,http://www.bigoakflatgrovelandusd.org/,69113710340.0,37.66393,-120.31438,https://www.greatschools.org/california/la-grange/7394-Don-Pedro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-grange/7394-Don-Pedro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-grange/7394-Don-Pedro-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-grange/7394-Don-Pedro-High-School/?utm_source=GSAPI&utm_medium=referral,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Real Charter High,16861.0,Vista Real Charter High School,charter,9-12,954.0,,5.0,Oxnard,CA,1077.0,Ventura County Office Of Education School District,691047.0,"401 South A Street, Suite 3, 
Oxnard, CA  93030",(805) 486-5449,(805) 486-5455,www.vrchs.org,69104711537.0,34.198784,-119.17857,https://www.greatschools.org/california/oxnard/16861-Vista-Real-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/16861-Vista-Real-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/16861-Vista-Real-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oxnard/16861-Vista-Real-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fillmore Senior High,7606.0,Fillmore Senior High School,public,9-12,982.0,5.0,3.0,Fillmore,CA,1012.0,Fillmore Unified School District,613800.0,"555 Central Avenue, 
Fillmore, CA  93015",(805) 524-6100,(805) 524-6121,http://fillmorehighschool.fillmoreusd.org,61380001555.0,34.4036,-118.91441999999999,https://www.greatschools.org/california/fillmore/7606-Fillmore-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fillmore/7606-Fillmore-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fillmore/7606-Fillmore-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fillmore/7606-Fillmore-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Nordhoff High,7648.0,Nordhoff High School,public,9-12,758.0,8.0,3.0,Ojai,CA,1019.0,Ojai Unified School District,628270.0,"1401 Maricopa Highway, 
Ojai, CA  93023",(805) 640-4343,(805) 640-4335,http://www.ojaiusd.org/nordhoff,62827004379.0,34.442432000000004,-119.26593000000001,https://www.greatschools.org/california/ojai/7648-Nordhoff-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ojai/7648-Nordhoff-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ojai/7648-Nordhoff-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/ojai/7648-Nordhoff-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,6.0,,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
