,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
San Diego Business/Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearny Digital Media & Design,14167,Kearny Digital Media & Design School,public,9-12,408,6,3,San Diego,CA,705,San Diego Unified School District,0634320,"1954 Komet Way, 
San Diego, CA  92111",(858) 496-8370,(858) 627-7503,http://dmd.khs.sandi.net,063432011145,32.79871,-117.16044,https://www.greatschools.org/california/san-diego/14167-Kearny-Digital-Media-&-Design-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14167-Kearny-Digital-Media-&-Design-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14167-Kearny-Digital-Media-&-Design-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/14167-Kearny-Digital-Media-&-Design-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Kearny School of Biomedical Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearny College Connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kearny Eng Innov & Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford High,14261,Crawford High School,public,9-12,1071,3,5,San Diego,CA,705,San Diego Unified School District,0634320,"4191 Colts Way, 
San Diego, CA  92115",(619) 362-3700,(619) 229-9225,www.sandi.net/crawford/,063432011149,32.752163,-117.07694,https://www.greatschools.org/california/san-diego/14261-Crawford-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14261-Crawford-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14261-Crawford-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/14261-Crawford-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
San Diego Science and Technology,14349,San Diego Science and Technology School,public,9-12,730,5,4,San Diego,CA,705,San Diego Unified School District,0634320,"1405 Park Boulevard, 
San Diego, CA  92101",(619) 525-7459,(619) 744-7677,http://sandi.net/sdhsscitech/,063432011153,32.71946,-117.15366,https://www.greatschools.org/california/san-diego/14349-San-Diego-Science-And-Technology-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14349-San-Diego-Science-And-Technology-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14349-San-Diego-Science-And-Technology-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/14349-San-Diego-Science-And-Technology-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
High Tech High Media Arts,13754,High Tech High Media Arts School,charter,9-12,400,7,3,San Diego,CA,705,San Diego Unified School District,0634320,"2230 Truxtun Road Third Floor, 
San Diego, CA  92106",(619) 398-8620,(619) 224-1198,www.hightechhigh.org,063432011386,32.734734,-117.2197,https://www.greatschools.org/california/san-diego/13754-High-Tech-High-Media-Arts-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/13754-High-Tech-High-Media-Arts-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/13754-High-Tech-High-Media-Arts-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/13754-High-Tech-High-Media-Arts-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Health Sciences High,17706,Health Sciences High School,charter,9-12,593,4,4,San Diego,CA,705,San Diego Unified School District,0634320,"3910 University Avenue, Suite 100, 
San Diego, CA  92105",(619) 528-9070,(619) 528-9084,www.hshmc.org,063432012179,32.749744,-117.11047,https://www.greatschools.org/california/san-diego/17706-Health-Sciences-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/17706-Health-Sciences-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/17706-Health-Sciences-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/17706-Health-Sciences-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
King-Chavez Community High,25009,King-Chavez Community High School,charter,9-12,571,3,4,San Diego,CA,705,San Diego Unified School District,0634320,"201 A Street, 
San Diego, CA  92101",(619) 704-1020,(619) 704-1021,www.kingchavez.org,063432012195,32.718822,-117.16264,https://www.greatschools.org/california/san-diego/25009-King-Chavez-Community-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/25009-King-Chavez-Community-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/25009-King-Chavez-Community-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/25009-King-Chavez-Community-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
School for Entrepreneurship and Technology,25267,School for Entrepreneurship and Technology,charter,9-12,275,6,5,San Diego,CA,705,San Diego Unified School District,0634320,"3540 Aero Court, 
San Diego, CA  92123",(858) 874-4338,(858) 874-5645,http://sethigh.org,063432012640,32.807106,-117.1485,https://www.greatschools.org/california/san-diego/25267-School-For-Entrepreneurship-And-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/25267-School-For-Entrepreneurship-And-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/25267-School-For-Entrepreneurship-And-Technology/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/25267-School-For-Entrepreneurship-And-Technology/?utm_source=GSAPI&utm_medium=referral,,,,,,,
e3 Civic High,31013,e3 Civic High School,charter,9-12,420,5,4,San Diego,CA,705,San Diego Unified School District,0634320,"395 11th Avenue, 
San Diego, CA  92101",(619) 546-0000,(619) 677-2955,www.e3civichigh.com,063432013288,32.709248,-117.15463,https://www.greatschools.org/california/san-diego/31013-E3-Civic-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/31013-E3-Civic-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/31013-E3-Civic-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/31013-E3-Civic-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Serra High,6235,Serra High School,public,9-12,1762,7,3,San Diego,CA,705,San Diego Unified School District,0634320,"5156 Santo Road, 
San Diego, CA  92124",(858) 496-8342,(858) 571-3457,www.serra.sandi.net,063432005549,32.825283,-117.10407,https://www.greatschools.org/california/san-diego/6235-Serra-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6235-Serra-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6235-Serra-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6235-Serra-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Mira Mesa High,6203,Mira Mesa High School,public,9-12,2426,9,4,San Diego,CA,705,San Diego Unified School District,0634320,"10510 Reagan Road, 
San Diego, CA  92126",(858) 566-2262,(858) 549-9541,www.miramesahigh.org,063432005520,32.90936,-117.13996,https://www.greatschools.org/california/san-diego/6203-Mira-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6203-Mira-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6203-Mira-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6203-Mira-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
University City High,6248,University City High School,public,9-12,1813,9,4,San Diego,CA,705,San Diego Unified School District,0634320,"6949 Genesee Avenue, 
San Diego, CA  92122",(858) 457-3040,(858) 457-4228,www.universitycityhigh.org,063432007838,32.8612,-117.20954,https://www.greatschools.org/california/san-diego/6248-University-City-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6248-University-City-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6248-University-City-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6248-University-City-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Scripps Ranch High,6233,Scripps Ranch High School,public,9-12,2376,10,4,San Diego,CA,705,San Diego Unified School District,0634320,"10410 Treena Street, 
San Diego, CA  92131",(858) 621-9020,(858) 621-0646,http://srhs.falcons.org,063432002688,32.908955,-117.11387,https://www.greatschools.org/california/san-diego/6233-Scripps-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6233-Scripps-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6233-Scripps-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6233-Scripps-Ranch-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Charter School of San Diego,11111,Charter School of San Diego,charter,7-12,2767,,4,San Diego,CA,705,San Diego Unified School District,0634320,"10170 Huennekens Street, 
San Diego, CA  92121",(858) 678-2020,(619) 552-6660,www.charterschool-sandiego.net,063432003939,32.90295,-117.18379,https://www.greatschools.org/california/san-diego/11111-Charter-School-Of-San-Diego/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/11111-Charter-School-Of-San-Diego/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/11111-Charter-School-Of-San-Diego/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/11111-Charter-School-Of-San-Diego/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Clairemont High,6119,Clairemont High School,public,9-12,1000,6,4,San Diego,CA,705,San Diego Unified School District,0634320,"4150 Ute Drive, 
San Diego, CA  92117",(858) 273-0201,(858) 272-4219,http://sandi.net/clairemont,063432005434,32.80711,-117.20332,https://www.greatschools.org/california/san-diego/6119-Clairemont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6119-Clairemont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6119-Clairemont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6119-Clairemont-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
High Tech High,11837,High Tech High,charter,9-12,583,6,4,San Diego,CA,705,San Diego Unified School District,0634320,"2861 Womble Road, 
San Diego, CA  92106",(619) 243-5014,(619) 243-5050,www.hightechhigh.org/schools/hth,063432008599,32.73404,-117.21514,https://www.greatschools.org/california/san-diego/11837-High-Tech-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/11837-High-Tech-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/11837-High-Tech-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/11837-High-Tech-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Henry High,6159,Patrick Henry High School,public,9-12,2384,9,3,San Diego,CA,705,San Diego Unified School District,0634320,"6702 Wandermere Drive, 
San Diego, CA  92120",(619) 286-7700,(619) 229-0370,,063432005479,32.796333,-117.05148,https://www.greatschools.org/california/san-diego/6159-Patrick-Henry-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6159-Patrick-Henry-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6159-Patrick-Henry-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6159-Patrick-Henry-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Hoover High,6163,Hoover High School,public,9-12,2021,4,4,San Diego,CA,705,San Diego Unified School District,0634320,"4474 El Cajon Boulevard, 
San Diego, CA  92115",(619) 344-4500,(619) 344-4648,www.hoovercardinals.org,063432005482,32.755352,-117.09761,https://www.greatschools.org/california/san-diego/6163-Hoover-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6163-Hoover-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6163-Hoover-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6163-Hoover-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
La Jolla High,6180,La Jolla High School,public,9-12,1581,9,4,La Jolla,CA,705,San Diego Unified School District,0634320,"750 Nautilus Street, 
La Jolla, CA  92037",(858) 454-3081,(858) 459-2188,http://ljhs.sandi.net,063432005496,32.832726,-117.27269,https://www.greatschools.org/california/la-jolla/6180-La-Jolla-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-jolla/6180-La-Jolla-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-jolla/6180-La-Jolla-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-jolla/6180-La-Jolla-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Madison High,6192,Madison High School,public,9-12,1125,5,3,San Diego,CA,705,San Diego Unified School District,0634320,"4833 Doliva Drive, 
San Diego, CA  92117",(858) 496-8410,(858) 496-8421,www.madison.sandi.net,063432005509,32.831047,-117.17568,https://www.greatschools.org/california/san-diego/6192-Madison-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6192-Madison-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6192-Madison-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6192-Madison-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Mission Bay High,6205,Mission Bay High School,public,9-12,1026,7,4,San Diego,CA,705,San Diego Unified School District,0634320,"2475 Grand Avenue, 
San Diego, CA  92109",(858) 273-1313,(858) 274-7388,www.missionbayhigh.com,063432005522,32.801296,-117.22441,https://www.greatschools.org/california/san-diego/6205-Mission-Bay-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6205-Mission-Bay-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6205-Mission-Bay-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6205-Mission-Bay-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Morse High,6207,Morse High School,public,9-12,1773,5,3,San Diego,CA,705,San Diego Unified School District,0634320,"6905 Skyline Drive, 
San Diego, CA  92114",(619) 262-0763,(619) 262-6835,http://morsehs.enschool.org,063432005526,32.702602,-117.04876,https://www.greatschools.org/california/san-diego/6207-Morse-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6207-Morse-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6207-Morse-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6207-Morse-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Point Loma High,6224,Point Loma High School,public,9-12,1915,8,4,San Diego,CA,705,San Diego Unified School District,0634320,"2335 Chatsworth Boulevard, 
San Diego, CA  92106",(619) 223-3121,(619) 225-1298,www.pointlomahigh.com,063432005537,32.74036,-117.22662,https://www.greatschools.org/california/san-diego/6224-Point-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6224-Point-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6224-Point-Loma-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6224-Point-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Canyon Crest Academy,14326,Canyon Crest Academy,public,9-12,2255,10,4,San Diego,CA,704,San Dieguito Union High School District,0634380,"5951 Village Center Loop Road, 
San Diego, CA  92130",(858) 350-0253,(858) 350-0280,www.sduhsd.net,063438011396,32.96024,-117.18835,https://www.greatschools.org/california/san-diego/14326-Canyon-Crest-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14326-Canyon-Crest-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/14326-Canyon-Crest-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/14326-Canyon-Crest-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Torrey Pines High,6091,Torrey Pines High School,public,9-12,2602,10,4,San Diego,CA,704,San Dieguito Union High School District,0634380,"3710 Del Mar Heights Road, 
San Diego, CA  92130",(858) 755-0125,(760) 481-0098,www.sduhsd.net/tp,063438005579,32.956383,-117.22497,https://www.greatschools.org/california/san-diego/6091-Torrey-Pines-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6091-Torrey-Pines-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6091-Torrey-Pines-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6091-Torrey-Pines-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
La Costa Canyon High,6087,La Costa Canyon High School,public,9-12,2295,9,4,Encinitas,CA,704,San Dieguito Union High School District,0634380,"1 Maverick Way, 
Encinitas, CA  92009",(760) 436-6136,(760) 943-3539,http://lc.sduhsd.net/,063438006516,33.075077,-117.23236,https://www.greatschools.org/california/encinitas/6087-La-Costa-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/encinitas/6087-La-Costa-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/encinitas/6087-La-Costa-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/encinitas/6087-La-Costa-Canyon-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
San Dieguito HS Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympian High,17054,Olympian High School,public,9-12,2519,9,4,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"1925 Magdalena Avenue, 
Chula Vista, CA  91913",(619) 656-2400,(619) 216-0650,www.sweetwaterschools.org,063864011768,32.607105,-116.97209,https://www.greatschools.org/california/chula-vista/17054-Olympian-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/17054-Olympian-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/17054-Olympian-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/17054-Olympian-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Southwest Senior High,6296,Southwest Senior High School,public,9-12,1814,4,3,San Diego,CA,710,Sweetwater Union High School District,0638640,"1685 Hollister Street, 
San Diego, CA  92154",(619) 628-3023,(619) 423-8253,www.sweetwaterschools.org,063864006492,32.568058,-117.08409,https://www.greatschools.org/california/san-diego/6296-Southwest-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6296-Southwest-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/6296-Southwest-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/6296-Southwest-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Bonita Vista Senior High,6279,Bonita Vista Senior High School,public,9-12,2496,8,3,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"751 Otay Lakes Road, 
Chula Vista, CA  91913",(619) 397-2000,(619) 656-1203,www.sweetwaterschools.org/,063864006475,32.64603,-117.00114,https://www.greatschools.org/california/chula-vista/6279-Bonita-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6279-Bonita-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6279-Bonita-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/6279-Bonita-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Castle Park Senior High,6281,Castle Park Senior High School,public,9-12,1533,4,4,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"1395 Hilltop Drive, 
Chula Vista, CA  91911",(619) 585-2000,(619) 427-5967,http://www.suhsd.k12.ca.us/cph/,063864006477,32.606983,-117.05284,https://www.greatschools.org/california/chula-vista/6281-Castle-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6281-Castle-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6281-Castle-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/6281-Castle-Park-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Eastlake High,6284,Eastlake High School,public,9-12,3113,9,3,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"1120 Eastlake Parkway, 
Chula Vista, CA  91915",(619) 397-3800,(619) 656-9736,www.sweetwaterschools.org,063864001223,32.646442,-116.96522,https://www.greatschools.org/california/chula-vista/6284-Eastlake-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6284-Eastlake-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6284-Eastlake-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/6284-Eastlake-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Chula Vista Senior High,6283,Chula Vista Senior High School,public,9-12,2598,5,4,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"820 Fourth Avenue, 
Chula Vista, CA  91911",(619) 476-5824,(619) 427-5824,http://www.suhsd.k12.ca.us/cvh/,063864006479,32.62203,-117.07697,https://www.greatschools.org/california/chula-vista/6283-Chula-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6283-Chula-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6283-Chula-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/6283-Chula-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
MAAC Community Charter,12044,Maac Community Charter School,charter,9-12,298,,5,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"1385 Third Avenue, 
Chula Vista, CA  91911",(619) 476-0749,(619) 476-0913,www.maacproject.org,063864010384,32.604298,-117.06543,https://www.greatschools.org/california/chula-vista/12044-Maac-Community-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/12044-Maac-Community-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/12044-Maac-Community-Charter-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/12044-Maac-Community-Charter-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
San Ysidro High,12223,San Ysidro High School,public,9-12,2456,5,4,San Diego,CA,710,Sweetwater Union High School District,0638640,"5353 Airway Road, 
San Diego, CA  92154",(619) 710-2300,(619) 710-2318,www.sweetwaterschools.org,063864010642,32.566437,-117.01748,https://www.greatschools.org/california/san-diego/12223-San-Ysidro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/12223-San-Ysidro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-diego/12223-San-Ysidro-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-diego/12223-San-Ysidro-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Otay Ranch Senior High,12628,Otay Ranch Senior High School,public,9-12,2581,8,4,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"1250 Olympic Parkway, 
Chula Vista, CA  91913",(619) 591-5000,(619) 591-5010,www.sweetwaterschools.org,063864011264,32.619072,-116.99635,https://www.greatschools.org/california/chula-vista/12628-Otay-Ranch-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/12628-Otay-Ranch-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/12628-Otay-Ranch-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/12628-Otay-Ranch-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Hilltop Senior High,6287,Hilltop Senior High School,public,9-12,2200,7,4,Chula Vista,CA,710,Sweetwater Union High School District,0638640,"555 Claire Avenue, 
Chula Vista, CA  91910",(619) 476-4200,(619) 425-3284,www.sweetwaterschools.org,063864006484,32.636852,-117.0599,https://www.greatschools.org/california/chula-vista/6287-Hilltop-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6287-Hilltop-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chula-vista/6287-Hilltop-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chula-vista/6287-Hilltop-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Mar Vista Senior High,6289,Mar Vista Senior High School,public,9-12,1656,4,3,Imperial Beach,CA,710,Sweetwater Union High School District,0638640,"505 Elm Avenue, 
Imperial Beach, CA  91932",(619) 628-5700,(619) 424-3579,http://www.suhsd.k12.ca.us/mvh,063864006486,32.580208,-117.12224,https://www.greatschools.org/california/imperial-beach/6289-Mar-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/imperial-beach/6289-Mar-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/imperial-beach/6289-Mar-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/imperial-beach/6289-Mar-Vista-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Sweetwater High,6297,Sweetwater High School,public,9-12,2698,5,4,National City,CA,710,Sweetwater Union High School District,0638640,"2900 Highland Avenue, 
National City, CA  91950",(619) 474-9700,(619) 474-7635,www.sweetwaterschools.org,063864006495,32.65993,-117.0917,https://www.greatschools.org/california/national-city/6297-Sweetwater-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/national-city/6297-Sweetwater-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/national-city/6297-Sweetwater-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/national-city/6297-Sweetwater-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
