,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Terra Nova High,6882.0,Terra Nova High School,public,9-12,1012.0,8.0,4.0,Pacifica,CA,787.0,Jefferson Union High School District,618930.0,"1450 Terra Nova Boulevard, 
Pacifica, CA  94044",(650) 550-7600,(650) 550-7690,http://tnhs.juhsd.net,61893002296.0,37.592476,-122.47565,https://www.greatschools.org/california/pacifica/6882-Terra-Nova-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pacifica/6882-Terra-Nova-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pacifica/6882-Terra-Nova-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pacifica/6882-Terra-Nova-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,4.0,,4.0,,23.0,335.0,72.0,100.0,73923.0,7.0,4.0,8.0,59.0,196.0,42.0,38.0,42.0,195.0,22.0,37.0,40.0,31.0,94.0,96.0,19.0,94044.0,Terra Nova High
Westmoor High,6883.0,Westmoor High School,public,9-12,1669.0,8.0,4.0,Daly City,CA,787.0,Jefferson Union High School District,618930.0,"131 Westmoor Avenue, 
Daly City, CA  94015",(650) 550-7400,(650) 550-7490,http://whs.juhsd.net,61893002298.0,37.683475,-122.48473,https://www.greatschools.org/california/daly-city/6883-Westmoor-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/daly-city/6883-Westmoor-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/daly-city/6883-Westmoor-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/daly-city/6883-Westmoor-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,7.0,,7.0,,23.0,296.0,88.0,100.0,74547.0,8.0,7.0,9.0,71.0,375.0,66.0,154.0,46.0,371.0,36.0,151.0,50.0,38.0,92.0,89.0,39.0,94015.0,Westmoor High
Pescadero High,6897.0,Pescadero High School,public,9-12,96.0,4.0,3.0,Pescadero,CA,789.0,La Honda-Pescadero Unified School District,620220.0,"350 Butano Cut Off, 
Pescadero, CA  94060",(650) 879-0274,(650) 879-0589,,62022002423.0,37.24681,-122.36383,https://www.greatschools.org/california/pescadero/6897-Pescadero-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pescadero/6897-Pescadero-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/pescadero/6897-Pescadero-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/pescadero/6897-Pescadero-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,2.0,,2.0,,10.0,163.0,90.0,100.0,62896.0,5.0,2.0,5.0,41.0,17.0,33.0,12.0,29.0,17.0,8.0,12.0,43.0,41.0,94.0,96.0,63.0,94060.0,Pescadero High
Design Tech High,32204.0,Design Tech High,charter,9-12,550.0,,,Burlingame,CA,800.0,San Mateo Union High School District,634980.0,"1800 Rollins Road, 
Burlingame, CA  94010",(650) 231-2701,,www.dtechhs.org,63498013774.0,37.598133,-122.37937,https://www.greatschools.org/california/burlingame/32204-Design-Tech-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/burlingame/32204-Design-Tech-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/burlingame/32204-Design-Tech-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/burlingame/32204-Design-Tech-High/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,71.0,27.0,71.0,71.0,130.0,27.0,15.0,62.0,130.0,33.0,15.0,,,,,,94010.0,Design Tech High
Aragon High,6975.0,Aragon High School,public,9-12,1473.0,9.0,4.0,San Mateo,CA,800.0,San Mateo Union High School District,634980.0,"900 Alameda De Las Pulgas, 
San Mateo, CA  94402",(650) 558-2999,(650) 558-2952,https://aragon.schoolloop.com/,63498005919.0,37.551655,-122.32847,https://www.greatschools.org/california/san-mateo/6975-Aragon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-mateo/6975-Aragon-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-mateo/6975-Aragon-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-mateo/6975-Aragon-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,6.0,,6.0,,24.0,427.0,88.0,100.0,104918.0,9.0,6.0,10.0,79.0,373.0,60.0,85.0,54.0,369.0,29.0,85.0,70.0,43.0,96.0,95.0,13.0,94402.0,Aragon High
Burlingame High,6976.0,Burlingame High School,public,9-12,1339.0,10.0,4.0,Burlingame,CA,800.0,San Mateo Union High School District,634980.0,"1 Mangini Way, 
Burlingame, CA  94010",(650) 558-2899,(650) 558-2852,http://bhs.schoolloop.com,63498005920.0,37.58202,-122.3486,https://www.greatschools.org/california/burlingame/6976-Burlingame-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/burlingame/6976-Burlingame-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/burlingame/6976-Burlingame-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/burlingame/6976-Burlingame-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,7.0,,8.0,,24.0,500.0,84.0,100.0,107020.0,10.0,8.0,10.0,82.0,344.0,66.0,41.0,61.0,339.0,39.0,41.0,76.0,35.0,96.0,90.0,6.0,94010.0,Burlingame High
Capuchino High,6977.0,Capuchino High School,public,9-12,1127.0,7.0,4.0,San Bruno,CA,800.0,San Mateo Union High School District,634980.0,"1501 Magnolia Avenue, 
San Bruno, CA  94066",(650) 558-2799,(650) 558-2752,http://chs.schoolloop.com,63498005921.0,37.60994,-122.40628,https://www.greatschools.org/california/san-bruno/6977-Capuchino-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-bruno/6977-Capuchino-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-bruno/6977-Capuchino-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-bruno/6977-Capuchino-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,4.0,,5.0,,25.0,333.0,70.0,100.0,112417.0,7.0,5.0,8.0,63.0,260.0,51.0,101.0,32.0,257.0,23.0,101.0,61.0,51.0,92.0,86.0,21.0,94066.0,Capuchino High
Hillsdale High,6978.0,Hillsdale High School,public,9-12,1375.0,8.0,4.0,San Mateo,CA,800.0,San Mateo Union High School District,634980.0,"3115 Del Monte Street, 
San Mateo, CA  94403",(650) 558-2699,(650) 574-4173,http://hhs.schoolloop.com,63498005923.0,37.532227,-122.31511,https://www.greatschools.org/california/san-mateo/6978-Hillsdale-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-mateo/6978-Hillsdale-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-mateo/6978-Hillsdale-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-mateo/6978-Hillsdale-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,4.0,,5.0,,23.0,367.0,79.0,100.0,112436.0,9.0,5.0,10.0,74.0,309.0,48.0,66.0,51.0,310.0,25.0,67.0,59.0,38.0,92.0,86.0,12.0,94403.0,Hillsdale High
Mills High,6979.0,Mills High School,public,9-12,1198.0,9.0,4.0,Millbrae,CA,800.0,San Mateo Union High School District,634980.0,"400 Murchison Drive, 
Millbrae, CA  94030",(650) 558-2599,(650) 558-2552,http://mhs.schoolloop.com,63498005924.0,37.593163,-122.38911,https://www.greatschools.org/california/millbrae/6979-Mills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/millbrae/6979-Mills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/millbrae/6979-Mills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/millbrae/6979-Mills-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,6.0,,8.0,,22.0,339.0,88.0,100.0,108101.0,10.0,8.0,10.0,77.0,283.0,62.0,55.0,70.0,275.0,59.0,54.0,75.0,60.0,95.0,89.0,14.0,94030.0,Mills High
San Mateo High,6981.0,San Mateo High School,public,9-12,1615.0,7.0,4.0,San Mateo,CA,800.0,San Mateo Union High School District,634980.0,"506 North Delaware Street, 
San Mateo, CA  94401",(650) 558-2399,(650) 558-2352,www.sanmateohigh.org/,63498005926.0,37.57719,-122.33103,https://www.greatschools.org/california/san-mateo/6981-San-Mateo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-mateo/6981-San-Mateo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-mateo/6981-San-Mateo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-mateo/6981-San-Mateo-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,2.0,,3.0,,23.0,387.0,85.0,100.0,110485.0,7.0,3.0,9.0,61.0,334.0,39.0,132.0,45.0,335.0,15.0,133.0,61.0,33.0,84.0,69.0,28.0,94401.0,San Mateo High
Summit Preparatory Charter High,17017.0,Summit Preparatory Charter High School,charter,9-12,420.0,8.0,4.0,Redwood City,CA,798.0,Sequoia Union High School District,636390.0,"890 Broadway, 
Redwood City, CA  94063",(650) 556-1110,(650) 556-1121,http://summitprep.summitps.org,63639011981.0,37.486454,-122.21044,https://www.greatschools.org/california/redwood-city/17017-Summit-Preparatory-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/redwood-city/17017-Summit-Preparatory-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/redwood-city/17017-Summit-Preparatory-Charter-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/redwood-city/17017-Summit-Preparatory-Charter-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,9.0,,5.0,,6.0,,18.0,,74.0,100.0,54827.0,9.0,6.0,10.0,78.0,93.0,68.0,53.0,40.0,93.0,17.0,53.0,100.0,100.0,95.0,92.0,55.0,94063.0,Summit Preparatory Charter High
Everest Public High,25118.0,Everest Public High,charter,9-12,376.0,6.0,3.0,Redwood City,CA,798.0,Sequoia Union High School District,636390.0,"455 Fifth Avenue, 
Redwood City, CA  94063",(650) 366-1050,,http://everest.summitps.org,63639012395.0,37.473774,-122.20386,https://www.greatschools.org/california/redwood-city/25118-Everest-Public-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/redwood-city/25118-Everest-Public-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/redwood-city/25118-Everest-Public-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/redwood-city/25118-Everest-Public-High/?utm_source=GSAPI&utm_medium=referral,6.0,3.0,,2.0,,2.0,,,,,,,3.0,2.0,5.0,48.0,88.0,37.0,41.0,14.0,87.0,7.0,41.0,97.0,98.0,92.0,89.0,60.0,94063.0,Everest Public High
East Palo Alto Academy,27100.0,East Palo Alto Academy,charter,9-12,308.0,2.0,,East Palo Alto,CA,798.0,Sequoia Union High School District,636390.0,"1050 Myrtle Street, 
East Palo Alto, CA  94303",(650) 893-8900,(650) 839-8902,www.epaahs.org,63639011431.0,37.463306,-122.13124,https://www.greatschools.org/california/east-palo-alto/27100-East-Palo-Alto-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/east-palo-alto/27100-East-Palo-Alto-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/east-palo-alto/27100-East-Palo-Alto-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/east-palo-alto/27100-East-Palo-Alto-Academy/?utm_source=GSAPI&utm_medium=referral,2.0,2.0,,2.0,,2.0,,14.0,156.0,82.0,100.0,75733.0,2.0,2.0,2.0,31.0,68.0,32.0,63.0,7.0,68.0,8.0,63.0,42.0,41.0,87.0,88.0,79.0,94303.0,East Palo Alto Academy
Tide Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tide Academy
Carlmont High,6950.0,Carlmont High School,public,9-12,2183.0,9.0,4.0,Belmont,CA,798.0,Sequoia Union High School District,636390.0,"1400 Alameda De Las Pulgas, 
Belmont, CA  94002",(650) 595-0210,(650) 591-6067,http://www.carlmont.seq.org,63639006194.0,37.50758,-122.28908,https://www.greatschools.org/california/belmont/6950-Carlmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/belmont/6950-Carlmont-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/belmont/6950-Carlmont-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/belmont/6950-Carlmont-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,6.0,,6.0,,21.0,306.0,91.0,100.0,93494.0,10.0,6.0,10.0,84.0,499.0,54.0,57.0,71.0,497.0,32.0,56.0,73.0,38.0,95.0,88.0,11.0,94002.0,Carlmont High
Menlo-Atherton High,6951.0,Menlo-Atherton High School,public,9-12,2275.0,8.0,4.0,Atherton,CA,798.0,Sequoia Union High School District,636390.0,"555 Middlefield Road, 
Atherton, CA  94025",(650) 322-5311,(650) 323-1411,http://www.mabears.org,63639006195.0,37.459106,-122.17331,https://www.greatschools.org/california/atherton/6951-Menlo-Atherton-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/atherton/6951-Menlo-Atherton-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/atherton/6951-Menlo-Atherton-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/atherton/6951-Menlo-Atherton-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,2.0,,2.0,,19.0,253.0,88.0,100.0,88493.0,7.0,2.0,10.0,56.0,596.0,26.0,254.0,46.0,599.0,9.0,258.0,67.0,38.0,92.0,84.0,33.0,94025.0,Menlo-Atherton High
Sequoia High,6953.0,Sequoia High School,public,9-12,2143.0,6.0,4.0,Redwood City,CA,798.0,Sequoia Union High School District,636390.0,"1201 Brewster Avenue, 
Redwood City, CA  94062",(650) 367-9780,(650) 368-5180,www.sequoiahs.org,63639006198.0,37.48606,-122.23739,https://www.greatschools.org/california/redwood-city/6953-Sequoia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/redwood-city/6953-Sequoia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/redwood-city/6953-Sequoia-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/redwood-city/6953-Sequoia-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,7.0,,3.0,,4.0,,20.0,415.0,92.0,100.0,93277.0,7.0,4.0,9.0,55.0,477.0,42.0,263.0,38.0,473.0,23.0,260.0,57.0,36.0,83.0,74.0,42.0,94062.0,Sequoia High
Woodside High,6954.0,Woodside High School,public,9-12,1781.0,7.0,4.0,Woodside,CA,798.0,Sequoia Union High School District,636390.0,"199 Churchill Avenue, 
Woodside, CA  94062",(650) 367-9750,(650) 367-7263,http://www.woodsidehs.org/,63639006199.0,37.442646,-122.23064,https://www.greatschools.org/california/woodside/6954-Woodside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/woodside/6954-Woodside-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/woodside/6954-Woodside-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/woodside/6954-Woodside-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,7.0,,2.0,,3.0,,17.0,297.0,97.0,100.0,92039.0,7.0,3.0,9.0,61.0,413.0,35.0,182.0,37.0,410.0,16.0,180.0,63.0,45.0,89.0,86.0,41.0,94062.0,Woodside High
South San Francisco High,6993.0,South San Francisco High School,public,9-12,1363.0,6.0,4.0,South San Francisco,CA,801.0,South San Francisco Unified School District,637530.0,"400 B Street, 
South San Francisco, CA  94080",(650) 877-8754,(650) 871-7943,http://www.smcoe.k12.ca.us/ssfusd/ssfhs/index.html,63753006352.0,37.64847,-122.42752,https://www.greatschools.org/california/south-san-francisco/6993-South-San-Francisco-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-san-francisco/6993-South-San-Francisco-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/south-san-francisco/6993-South-San-Francisco-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/south-san-francisco/6993-South-San-Francisco-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,5.0,,3.0,,4.0,,20.0,283.0,100.0,100.0,8392.0,5.0,4.0,6.0,52.0,292.0,45.0,159.0,28.0,303.0,25.0,163.0,51.0,48.0,86.0,83.0,43.0,94080.0,South San Francisco High
Carpinteria Senior High,4829.0,Carpinteria Senior High School,public,9-12,648.0,6.0,4.0,Carpinteria,CA,558.0,Carpinteria Unified School District,607560.0,"4810 Foothill Road, 
Carpinteria, CA  93013",(805) 684-4107,(805) 566-5952,www.cusd.net/chs/,60756000727.0,34.409447,-119.51755,https://www.greatschools.org/california/carpinteria/4829-Carpinteria-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carpinteria/4829-Carpinteria-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/carpinteria/4829-Carpinteria-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/carpinteria/4829-Carpinteria-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,3.0,,4.0,,19.0,324.0,85.0,100.0,61226.0,5.0,4.0,7.0,40.0,133.0,31.0,83.0,37.0,134.0,29.0,83.0,48.0,42.0,96.0,96.0,60.0,93013.0,Carpinteria Senior High
Lompoc High,4864.0,Lompoc High School,public,9-12,1398.0,5.0,4.0,Lompoc,CA,569.0,Lompoc Unified School District,622410.0,"515 West College Avenue, 
Lompoc, CA  93436",(805) 742-3000,(805) 742-3004,www.lusd.org,62241002684.0,34.647064,-120.46374,https://www.greatschools.org/california/lompoc/4864-Lompoc-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lompoc/4864-Lompoc-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/lompoc/4864-Lompoc-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/lompoc/4864-Lompoc-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,2.0,,3.0,,22.0,351.0,89.0,88.0,72831.0,4.0,3.0,7.0,45.0,325.0,40.0,246.0,20.0,325.0,14.0,246.0,23.0,20.0,93.0,92.0,71.0,93436.0,Lompoc High
Pioneer Valley High,14201.0,Pioneer Valley High School,public,9-12,2694.0,4.0,4.0,Santa Maria,CA,575.0,Santa Maria Joint Union High School District,635670.0,"675 Panther Drive, 
Santa Maria, CA  93454",(805) 922-1305,(805) 922-8203,www.smjuhsd.k12.ca.us,63567011438.0,34.957382,-120.40031,https://www.greatschools.org/california/santa-maria/14201-Pioneer-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-maria/14201-Pioneer-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-maria/14201-Pioneer-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-maria/14201-Pioneer-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,93454.0,Pioneer Valley High
Ernest Righetti High,4919.0,Ernest Righetti High School,public,9-12,2139.0,5.0,3.0,Santa Maria,CA,575.0,Santa Maria Joint Union High School District,635670.0,"941 East Foster Road, 
Santa Maria, CA  93455",(805) 937-2051,(805) 934-0819,www.smjuhsd.k12.ca.us,63567006083.0,34.883109999999995,-120.42088,https://www.greatschools.org/california/santa-maria/4919-Ernest-Righetti-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-maria/4919-Ernest-Righetti-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-maria/4919-Ernest-Righetti-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-maria/4919-Ernest-Righetti-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,2.0,,3.0,,22.0,357.0,82.0,100.0,77034.0,4.0,3.0,7.0,46.0,492.0,35.0,292.0,21.0,490.0,14.0,291.0,28.0,21.0,93.0,92.0,51.0,93455.0,Ernest Righetti High
Santa Maria High,4920.0,Santa Maria High School,public,9-12,2695.0,3.0,4.0,Santa Maria,CA,575.0,Santa Maria Joint Union High School District,635670.0,"901 South Broadway, 
Santa Maria, CA  93454",(805) 925-2567,(805) 922-0215,www.smjuhsd.k12.ca.us/,63567006084.0,34.942604,-120.43597,https://www.greatschools.org/california/santa-maria/4920-Santa-Maria-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-maria/4920-Santa-Maria-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-maria/4920-Santa-Maria-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-maria/4920-Santa-Maria-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,4.0,,4.0,,4.0,,20.0,339.0,76.0,100.0,64662.0,4.0,4.0,6.0,42.0,517.0,42.0,484.0,24.0,519.0,23.0,486.0,23.0,23.0,85.0,85.0,86.0,93454.0,Santa Maria High
Santa Ynez Valley Union High,4924.0,Santa Ynez Valley Union High School,public,9-12,966.0,8.0,3.0,Santa Ynez,CA,577.0,Santa Ynez Valley Union High School District,635850.0,"2975 East Highway 246, 
Santa Ynez, CA  93460",(805) 688-6487,(805) 688-1913,www.syvpirates.org/,63585006136.0,34.6082,-120.09944,https://www.greatschools.org/california/santa-ynez/4924-Santa-Ynez-Valley-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ynez/4924-Santa-Ynez-Valley-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ynez/4924-Santa-Ynez-Valley-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-ynez/4924-Santa-Ynez-Valley-Union-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,5.0,,7.0,,22.0,386.0,96.0,100.0,83329.0,9.0,7.0,9.0,75.0,215.0,63.0,72.0,47.0,215.0,32.0,72.0,55.0,38.0,94.0,90.0,23.0,93460.0,Santa Ynez Valley Union High
Cuyama Valley High,4839.0,Cuyama Valley High School,public,9-12,70.0,3.0,2.0,New Cuyama,CA,562.0,Cuyama Joint Unified School District,600009.0,"4500 Highway 166, 
New Cuyama, CA  93254",(661) 766-2293,(661) 766-2593,www.cuyamaunified.org,60000908779.0,34.943363,-119.67386,https://www.greatschools.org/california/new-cuyama/4839-Cuyama-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/new-cuyama/4839-Cuyama-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/new-cuyama/4839-Cuyama-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/new-cuyama/4839-Cuyama-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,93254.0,Cuyama Valley High
Dos Pueblos Senior High,4894.0,Dos Pueblos Senior High School,public,9-12,2130.0,8.0,4.0,Goleta,CA,1224.0,Santa Barbara Unified School District,601414.0,"7266 Alameda Avenue, 
Goleta, CA  93117",(805) 968-2541,(805) 968-2891,www.sbunified.org,60141406017.0,34.43888,-119.88043,https://www.greatschools.org/california/goleta/4894-Dos-Pueblos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/goleta/4894-Dos-Pueblos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/goleta/4894-Dos-Pueblos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/goleta/4894-Dos-Pueblos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,4.0,,5.0,,23.0,329.0,83.0,100.0,85363.0,8.0,5.0,10.0,67.0,454.0,45.0,162.0,54.0,449.0,28.0,159.0,64.0,43.0,94.0,91.0,28.0,93117.0,Dos Pueblos Senior High
San Marcos Senior High,4901.0,San Marcos Senior High School,public,9-12,2181.0,8.0,5.0,Santa Barbara,CA,1224.0,Santa Barbara Unified School District,601414.0,"4750 Hollister Avenue, 
Santa Barbara, CA  93110",(805) 967-4581,(805) 967-8358,www.sbunified.org,60141406029.0,34.43722,-119.78661,https://www.greatschools.org/california/santa-barbara/4901-San-Marcos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-barbara/4901-San-Marcos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-barbara/4901-San-Marcos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-barbara/4901-San-Marcos-Senior-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,4.0,,5.0,,23.0,292.0,91.0,100.0,83090.0,7.0,5.0,9.0,61.0,477.0,49.0,237.0,38.0,473.0,25.0,233.0,60.0,38.0,90.0,86.0,39.0,93110.0,San Marcos Senior High
